samplingfm/Benchmarks/79.sk_4_40.cnf,cryptominisat,5.6.7,UNSAT,11
samplingfm/Benchmarks/79.sk_4_40.cnf,cryptominisat,5.6.8,UNSAT,10
samplingfm/Benchmarks/57.sk_4_64.cnf,sat4j-java,2.3.1,SAT,20
samplingfm/Benchmarks/57.sk_4_64.cnf,sat4j-maven,2.3.1,SAT,4260
samplingfm/Benchmarks/57.sk_4_64.cnf,sat4j-jar,2.3.1,SAT,188
samplingfm/Benchmarks/57.sk_4_64.cnf,cryptominisat,5.6.7,SAT,17
samplingfm/Benchmarks/57.sk_4_64.cnf,cryptominisat,5.6.8,SAT,18
samplingfm/Benchmarks/19.sk_3_48.cnf,sat4j-java,2.3.1,SAT,18
samplingfm/Benchmarks/19.sk_3_48.cnf,sat4j-maven,2.3.1,SAT,4205
samplingfm/Benchmarks/19.sk_3_48.cnf,sat4j-jar,2.3.1,SAT,232
samplingfm/Benchmarks/19.sk_3_48.cnf,cryptominisat,5.6.7,SAT,21
samplingfm/Benchmarks/19.sk_3_48.cnf,cryptominisat,5.6.8,SAT,20
samplingfm/Benchmarks/63.sk_3_64.cnf,sat4j-java,2.3.1,SAT,15
samplingfm/Benchmarks/63.sk_3_64.cnf,sat4j-maven,2.3.1,SAT,4082
samplingfm/Benchmarks/63.sk_3_64.cnf,sat4j-jar,2.3.1,SAT,217
samplingfm/Benchmarks/63.sk_3_64.cnf,cryptominisat,5.6.7,SAT,38
samplingfm/Benchmarks/63.sk_3_64.cnf,cryptominisat,5.6.8,SAT,28
samplingfm/Benchmarks/7.sk_4_50.cnf,sat4j-java,2.3.1,SAT,15
samplingfm/Benchmarks/7.sk_4_50.cnf,sat4j-maven,2.3.1,SAT,3973
samplingfm/Benchmarks/7.sk_4_50.cnf,sat4j-jar,2.3.1,SAT,208
samplingfm/Benchmarks/7.sk_4_50.cnf,cryptominisat,5.6.7,SAT,18
samplingfm/Benchmarks/7.sk_4_50.cnf,cryptominisat,5.6.8,SAT,18
samplingfm/Benchmarks/77.sk_3_44.cnf,sat4j-java,2.3.1,SAT,14
samplingfm/Benchmarks/77.sk_3_44.cnf,sat4j-maven,2.3.1,SAT,4091
samplingfm/Benchmarks/77.sk_3_44.cnf,sat4j-jar,2.3.1,SAT,276
